organization/TMC,Dataset ID,Donor ID,Organ ID,Direct Ancestor Tissue Sample ID,Dataset Name (optional),Organ/Tissue,Assay,Data Modality,Pipeline processed? (Blood / Ruffalo),TMC/RTI/TTD vs. HIVE processed?  (Blood / Ruffalo),Human Curated? (Briggs),TMC signed off on dataset,Donor metadata received,Donor metadata ingested? (Silverstein),Contains ID-able seq data (Brusko),Reference IRB,IRB data classification,File types included,"Size of data set (i.e. cells, or other relevant proxy)",Instrument name,Instrument model,Application software name,Application software version,globusUrl,localPath,createdBy,creationDate,Flow cell,Sequencing Library pool concentration,PhiX%,Sequencing read format,Paired/Single End,Sequencing Chemistry,reference genome,Preprocessing pipeline,# Cells returned post sequencing,% reads in cells,mean reads/cell,median genes/cell,Sample Index well ID,
Florida/Zurich,HBM633.CLVN.674,UFL0003,UFL0003-SP,UFL0003-SP-3-6-1,19-004-SP-CC3-2L,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/d36df353338a4a450f2282c65218f16c,/hive/hubmap/lz//University of Florida TMC/d36df353338a4a450f2282c65218f16c,jesus.penalozaa@ufl.edu,2019-12-20 19:37:51,,,,,,,,,,,,,,
Florida/Zurich,HBM267.BZKT.867,UFL0003,UFL0003-SP,UFL0003-SP-2-6-1,19-004-SP-CC2-2L,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/03043e079260d180099579045f16cd53,/hive/hubmap/lz//University of Florida TMC/03043e079260d180099579045f16cd53,jesus.penalozaa@ufl.edu,2019-12-20 19:34:12,,,,,,,,,,,,,,
Florida/Zurich,HBM339.XXWC.842,UFL0002,UFL0002-TH,UFL0002-TH-2-5-1,19-002-TH-CC1-E,thymus,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/e21e76dbfcf94f3de679a284c8aa9bd1,/hive/hubmap/lz//University of Florida TMC/e21e76dbfcf94f3de679a284c8aa9bd1,jesus.penalozaa@ufl.edu,2019-12-20 19:23:08,,,,,,,,,,,,,,
Florida/Zurich,HBM869.VZJM.366,UFL0003,UFL0003-LY01,UFL0003-LY01-1-1,19-004_lymph-node_R1,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-004_lymph-node_R1%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Fa6ccc344f88a164766d1251053173009%2F,/University of Florida TMC/a6ccc344f88a164766d1251053173009/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM523.ZFKM.398,UFL0003,UFL0003-LY02,UFL0003-LY02-1-1,19-004_lymph-node_R2,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-004_lymph-node_R2%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F4852fecbbb3fe8fd8a4b897f26941dd9%2F,/University of Florida TMC/4852fecbbb3fe8fd8a4b897f26941dd9/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM492.LXSS.627,UFL0003,UFL0003-LY03,UFL0003-LY03-1-1,19-004_lymph-node_R3,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-004_lymph-node_R3%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F4df8eb42549d6954d0b98b18cb92d9b6%2F,/University of Florida TMC/4df8eb42549d6954d0b98b18cb92d9b6/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM573.VSJK.526,UFL0002,UFL0002-LY01,UFL0002-LY01-1-1,19-002_lymph-node_R1,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F0dc91e6484430c2db25b6765dd6aa565%2F,/University of Florida TMC/0dc91e6484430c2db25b6765dd6aa565/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM575.MTPD.997,UFL0002,UFL0002-LY02,UFL0002-LY02-1-1,19-002_lymph-node_R2,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-002_lymph-node_R2%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Fe69fb303e035192a0ee38a34e4b25024%2F,/University of Florida TMC/e69fb303e035192a0ee38a34e4b25024/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM623.TSMG.452,UFL0002,UFL0002-LY03,UFL0002-LY03-1-1,19-002_lymph-node_R3,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Fe3aa11ba0218456e2cc9302f6b1d9d1c%2F,/University of Florida TMC/e3aa11ba0218456e2cc9302f6b1d9d1c/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM244.TJLK.223,UFL0003,UFL0003-SP,UFL0003-SP-1-4-1,19-004_spleen_CC1-1L,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-004_spleen_CC1-1L%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Faedc30c204870180673b6ece299f2eb1%2F,/University of Florida TMC/aedc30c204870180673b6ece299f2eb1/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM647.MFQB.496,UFL0001,UFL0001-SP,UFL0001-SP-1-2-1,19-003_spleen_CC1-A,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F4a4c3947a7590031d1ff405557354fdb%2F,/University of Florida TMC/4a4c3947a7590031d1ff405557354fdb/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM337.FSXL.564,UFL0001,UFL0001-SP,UFL0001-SP-3-8-2,19-003_spleen_CC3-E,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Ff0c58e670ceb445e6ab02c6a20c83aee%2F,/University of Florida TMC/f0c58e670ceb445e6ab02c6a20c83aee/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM987.XGTH.368,UFL0002,UFL0002-SP,UFL0002-SP-2-4-1,19-002_spleen_CC2-A,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Fe0ba24d0c4dab528e46aab3f67a1aae8%2F,/University of Florida TMC/e0ba24d0c4dab528e46aab3f67a1aae8/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM427.SMGB.866,UFL0004,UFL0004-SP,UFL0004-SP-1-4-1,19-001_spleen_CC2-A,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F2c3540e2b1040c06612698d80ecab56a%2F,/University of Florida TMC/2c3540e2b1040c06612698d80ecab56a/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM355.JDLK.244,UFL0004,UFL0004-SP,UFL0004-SP-2-4-1,19-001_spleen_CC3-C,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F4c0479bd703d8be3c2834dd1b6773b4c%2F,/University of Florida TMC/4c0479bd703d8be3c2834dd1b6773b4c/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM588.FHDS.363,UFL0002,UFL0002-TH,UFL0002-TH-1-1-1,19-002_thymus_CC1-A,thymus,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F8dd0ef5cafa3541cf9f0661db64662b7%2F,/University of Florida TMC/8dd0ef5cafa3541cf9f0661db64662b7/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM246.VPVL.879,UFL0002,UFL0002-TH,UFL0002-TH-2-3-1,19-002_thymus_CC2-C,thymus,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-002_lymph-node_R3%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2Fe3aa11ba0218456e2cc9302f6b1d9d1c%2F,/University of Florida TMC/e3aa11ba0218456e2cc9302f6b1d9d1c/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM277.GJFC.833,UFL0004,UFL0004-TH,UFL0004-TH-2-4-1,19-001_thymus_CC2-C,thymus,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2Forange%2Fclive%2FCodex_dataset%2FCX_19-001_thymus_CC2-C_NBF%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F65f12a80f54438ea3bf5c7200ecd70a3%2F,/University of Florida TMC/65f12a80f54438ea3bf5c7200ecd70a3/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM376.QCCJ.269,UFL0004,UFL0004-TH,UFL0004-TH-1-4-1,19-001_thymus_CC1-A,thymus,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,,CODEX v.1,Codex Toolkit,1.7.0.16,https://app.globus.org/file-manager?destination_id=13b52d2a-d744-11e5-9768-22000b9da45e&destination_path=%2F%2F&origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F4514230f7473a496201a4e45c4ff9568%2F,/University of Florida TMC/4514230f7473a496201a4e45c4ff9568/,jesus.penalozaa@ufl.edu,,,,,,,,,,,,,,,
Florida/Zurich,HBM839.VWVF.894,UFL0001,UFL0001-SP,UFL0001-SP-3-8-1,19-003-SP-CC3-E,spleen,IMC,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"CSV, PNG, TIFF, XML","1Gb, 45 Files, 1 Tissue Sample, 4 Regions","CYTOF, Fluidigm",CYTOF 2,Histocat,1.76,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/7ead905ab166404a0544c53ccc311f41,/hive/hubmap/lz//University of Florida TMC/7ead905ab166404a0544c53ccc311f41,jesus.penalozaa@ufl.edu,2019-12-20 22:31:58,,,,,,,,,,,,,,
Florida/Zurich,HBM273.TDVP.568,UFL0002,UFL0002-TH,UFL0002-TH-2-4-1,19-002-Thymus-CC2-D,thymus,IMC,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"CSV, PNG, TIFF, XML","1Gb, 45 Files, 1 Tissue Sample, 3 Regions","CYTOF, Fluidigm",CYTOF 2,Histocat,1.76,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/2523d502e8bdd90d461aad4ac95a2172,/hive/hubmap/lz//University of Florida TMC/2523d502e8bdd90d461aad4ac95a2172,jesus.penalozaa@ufl.edu,2019-12-20 22:28:10,,,,,,,,,,,,,,
Florida/Zurich,HBM356.QRPV.263,UFL0001,UFL0001-LY08,UFL0001-LY08-1-1,19-003-LN-IMC,lymph node,IMC,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"CSV, PNG, TIFF, XML","1Gb, 45 Files, 1 Tissue Sample, 3 Regions","CYTOF, Fluidigm",CYTOF 2,Histocat,1.76,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/256795b18af5b1d318e2326266053f7e,/hive/hubmap/lz//University of Florida TMC/256795b18af5b1d318e2326266053f7e,jesus.penalozaa@ufl.edu,2019-12-20 22:35:06,,,,,,,,,,,,,,
Caltech-UW,HBM697.BXTK.979,CALT0001,CALT0001-HT,CALT0001-HT-2,W101-heart-LV-sci-RNA-seq,heart,sciRNAseq,Transcriptomics,N,,N,,Y,,Y,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",fastq,10509 (7818 w/ UMI > 250),Nextseq500,,https://github.com/bbi-lab/bbi-dmux,,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/b57f7458986473e4fa57fd418ec9f894,/hive/hubmap/lz//California Institute of Technology TMC/b57f7458986473e4fa57fd418ec9f894,shinlin@uw.edu,2020-01-02 20:10:17,,1.1 pM,0.02,18/52,paired,NSQ 500/550 Hi Output KT v2.5 (75 CYS),hg38,https://github.com/bbi-lab/bbi-dmux,10509 (8743 w/ UMI > 250),,2280 (median 1138),718,,
Caltech-UW,HBM666.FFFW.363,CALT0002,CALT0002-HT,CALT0002-HT-1-1,"W85 heart, left ventricle ATAC Raw Data",heart,sciATACseq,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",fastq,4339,Nextseq500,NS500488,"Monocle, Cicero","Monocle 3, cicero V1",https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/d926c41ac08f3c2ba5e61eec83e90b0c,/hive/hubmap/lz//California Institute of Technology TMC/d926c41ac08f3c2ba5e61eec83e90b0c,danaj77@uw.edu,2019-12-31 1:03:21,AHM37MBGXC,1.8pM,0,NexteraPE-PE,paired,"R1: 50, R2: 50, I1: 20, I2:20",HG19,UW-GS-Booth,4339,90,12067.34,NA,NA,NA
Caltech/UW,HBM395.JHDT.249,CALT0001,CALT0001-HT,CALT0001-HT-3-1,"W101 heart, left atrium seqFISH processed data",heart,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.mat/.tif/.csv,6 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/9f37a9b1f6073e6e588ff7e0dd9493b5,/hive/hubmap/lz//California Institute of Technology TMC/9f37a9b1f6073e6e588ff7e0dd9493b5,nicogpt@caltech.edu,2020-01-04 0:57:54,,,,,,,,,,,,,,
Caltech/UW,HBM377.PNXQ.838,CALT0001,CALT0001-HT,CALT0001-HT-1-1,"W101 heart, right ventricle seqFISH processed data",heart,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.mat/.tif/.csv,6 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/f91b925ab975d7f5997c51a72d9b1329,/hive/hubmap/lz//California Institute of Technology TMC/f91b925ab975d7f5997c51a72d9b1329,nicogpt@caltech.edu,2020-01-04 0:56:14,,,,,,,,,,,,,,
Caltech/UW,HBM954.NQWF.729,STAN0004,STAN0004-SP,STAN0004-SP-1-1,"W105 spleen, anterior seqFISH processed data",spleen,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.mat/.tif/.csv,10 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/b9824e6d57a2e861fb990b7a27ba7008,/hive/hubmap/lz//California Institute of Technology TMC/b9824e6d57a2e861fb990b7a27ba7008,nicogpt@caltech.edu,2019-12-31 14:57:26,,,,,,,,,,,,,,
Caltech/UW,HBM374.JBKR.938,CALT0001,CALT0001-HT,CALT0001-HT-2-1,"W101 heart, left ventricle seqFISH processed data",heart,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.mat/.tif/.csv,6 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/ceab8754162592b4014093f09881a47c,/hive/hubmap/lz//California Institute of Technology TMC/ceab8754162592b4014093f09881a47c,nicogpt@caltech.edu,2019-12-31 14:54:02,,,,,,,,,,,,,,
Caltech/UW,HBM788.KHPF.569,CALT0001,CALT0001-HT,CALT0001-HT-1-1,"W101 heart, right ventricle seqFISH raw data",heart,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.tif,6 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/8f0becaf2d0eea9df67e45b8d66d69ac,/hive/hubmap/lz//California Institute of Technology TMC/8f0becaf2d0eea9df67e45b8d66d69ac,nicogpt@caltech.edu,2020-01-04 0:39:11,,,,,,,,,,,,,,
Caltech/UW,HBM965.GZHL.485,CALT0001,CALT0001-HT,CALT0001-HT-3-1,"W101 heart, left atrium seqFISH raw data",heart,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.tif,6 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/c6a254b2dc2ed46b002500ade163a7cc,/hive/hubmap/lz//California Institute of Technology TMC/c6a254b2dc2ed46b002500ade163a7cc,nicogpt@caltech.edu,2020-01-04 0:40:22,,,,,,,,,,,,,,
Caltech/UW,HBM766.XTBC.899,STAN0004,STAN0004-SP,STAN0004-SP-1-1,"W105 spleen, anterior seqFISH raw data",spleen,seqFISH,MxIF,N,,N,,Y,,N,https://drive.google.com/drive/folders/1gV-ip_PcrXh5wN869ixXOcPK_h60jTzH,"Human subjects, unrestricted ",.tif,10 FOV,Andor cCMOS Camera,Zyla 4.2 USB3,Micro-Manager,1.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/California%20Institute%20of%20Technology%20TMC/9046d09943f6a10b70544822de1d5752,/hive/hubmap/lz//California Institute of Technology TMC/9046d09943f6a10b70544822de1d5752,nicogpt@caltech.edu,2019-12-31 13:57:55,,,,,,,,,,,,,,
